Time,x_d,y_d,theta_d,v_r_d,v_l_d
17.414512,-0.242207,-1.250162,-2.305579,0.148369,0.124928
17.464554,-0.246779,-1.255232,-2.303338,0.148205,0.124168
17.514595,-0.251322,-1.260295,-2.30104,0.148035,0.123397
17.564637,-0.255839,-1.265351,-2.298685,0.147862,0.122613
17.614679,-0.260327,-1.2704,-2.296272,0.147684,0.121819
17.664721,-0.264787,-1.275441,-2.2938,0.147503,0.121012
17.714762,-0.269217,-1.280475,-2.291269,0.147318,0.120193
17.764804,-0.273618,-1.285501,-2.288678,0.147129,0.119363
17.814846,-0.277989,-1.29052,-2.286026,0.146938,0.118521
17.864887,-0.28233,-1.29553,-2.283312,0.146743,0.117667
17.914929,-0.286639,-1.300532,-2.280535,0.146546,0.116801
17.964971,-0.290917,-1.305526,-2.277695,0.146346,0.115924
18.015013,-0.295163,-1.310512,-2.27479,0.146144,0.115035
18.065054,-0.299377,-1.315489,-2.27182,0.14594,0.114133
18.115096,-0.303557,-1.320457,-2.268783,0.145734,0.11322
18.165138,-0.307705,-1.325417,-2.26568,0.145526,0.112295
18.215179,-0.311818,-1.330367,-2.262508,0.145318,0.111358
18.265221,-0.315897,-1.335309,-2.259266,0.145108,0.110409
18.315263,-0.319942,-1.340241,-2.255955,0.144897,0.109448
18.365304,-0.323951,-1.345164,-2.252572,0.144686,0.108475
18.415346,-0.327925,-1.350078,-2.249117,0.144474,0.10749
18.465388,-0.331863,-1.354982,-2.245588,0.144262,0.106493
18.51543,-0.335764,-1.359876,-2.241984,0.144051,0.105484
18.565471,-0.339629,-1.36476,-2.238304,0.14384,0.104463
18.615513,-0.343456,-1.369634,-2.234548,0.143631,0.10343
18.665555,-0.347245,-1.374499,-2.230713,0.143422,0.102385
18.715596,-0.350997,-1.379352,-2.226798,0.143214,0.101328
18.765638,-0.354709,-1.384196,-2.222803,0.143009,0.100258
18.81568,-0.358383,-1.389029,-2.218725,0.142805,0.099177
18.865721,-0.362018,-1.393851,-2.214563,0.142604,0.098083
18.915763,-0.365612,-1.398662,-2.210317,0.142405,0.096978
18.965805,-0.369167,-1.403463,-2.205985,0.14221,0.09586
19.015847,-0.372681,-1.408252,-2.201564,0.142017,0.09473
19.065888,-0.376154,-1.41303,-2.197054,0.141829,0.093587
19.11593,-0.379585,-1.417797,-2.192454,0.141644,0.092433
19.165972,-0.382975,-1.422552,-2.187761,0.141463,0.091266
19.216013,-0.386323,-1.427296,-2.182974,0.141288,0.090087
19.266055,-0.389629,-1.432028,-2.178092,0.141117,0.088896
19.316097,-0.392892,-1.436748,-2.173113,0.140951,0.087693
19.366138,-0.396111,-1.441456,-2.168034,0.140791,0.086477
19.41618,-0.399287,-1.446152,-2.162856,0.140637,0.08525
19.466222,-0.402419,-1.450836,-2.157575,0.14049,0.08401
19.516264,-0.405507,-1.455507,-2.152189,0.140349,0.082758
19.566305,-0.408551,-1.460166,-2.146699,0.140215,0.081493
19.616347,-0.411549,-1.464812,-2.1411,0.140089,0.080217
19.666389,-0.414503,-1.469446,-2.135392,0.139971,0.078928
19.71643,-0.41741,-1.474066,-2.129572,0.13986,0.077628
19.766472,-0.420272,-1.478674,-2.123639,0.139759,0.076315
19.816514,-0.423088,-1.483268,-2.117591,0.139666,0.07499
19.866555,-0.425857,-1.487849,-2.111426,0.139583,0.073654
19.916597,-0.42858,-1.492417,-2.105141,0.139509,0.072305
19.966639,-0.431255,-1.496971,-2.098734,0.139445,0.070945
20.016681,-0.433883,-1.501512,-2.092205,0.139392,0.069573
20.066722,-0.436464,-1.506039,-2.085549,0.139349,0.068189
20.116764,-0.438996,-1.510552,-2.078766,0.139317,0.066794
20.166806,-0.441481,-1.515051,-2.071854,0.139297,0.065387
20.216847,-0.443916,-1.519535,-2.064809,0.139289,0.063969
20.266889,-0.446303,-1.524006,-2.05763,0.139292,0.06254
20.316931,-0.448641,-1.528462,-2.050314,0.139308,0.061099
20.366972,-0.45093,-1.532903,-2.04286,0.139337,0.059648
20.417014,-0.453169,-1.53733,-2.035265,0.139379,0.058187
20.467056,-0.455359,-1.541742,-2.027527,0.139434,0.056715
20.517098,-0.457498,-1.54614,-2.019644,0.139503,0.055233
20.567139,-0.459587,-1.550522,-2.011613,0.139585,0.05374
20.617181,-0.461626,-1.554889,-2.003433,0.139682,0.052239
20.667223,-0.463614,-1.559241,-1.9951,0.139793,0.050728
20.717264,-0.465551,-1.563578,-1.986613,0.139919,0.049208
20.767306,-0.467437,-1.567899,-1.97797,0.140059,0.047679
20.817348,-0.469271,-1.572204,-1.969168,0.140214,0.046143
20.867389,-0.471054,-1.576494,-1.960205,0.140384,0.044598
20.917431,-0.472785,-1.580768,-1.951079,0.140569,0.043047
20.967473,-0.474465,-1.585026,-1.941789,0.14077,0.041488
21.017515,-0.476092,-1.589268,-1.932331,0.140985,0.039924
21.067556,-0.477667,-1.593494,-1.922704,0.141216,0.038354
21.117598,-0.479189,-1.597703,-1.912906,0.141462,0.036779
21.16764,-0.480659,-1.601896,-1.902935,0.141723,0.0352
21.217681,-0.482076,-1.606073,-1.89279,0.141999,0.033617
21.267723,-0.48344,-1.610233,-1.882468,0.142289,0.032032
